Name,Discount,Old Price,New Price
Tiny Glade,-15%,"14,79€","12,57€"
Steam Deck,-15%,"369,00€","313,65€"
Crusader Kings III,-70%,"49,99€","14,99€"
Witchfire,-10%,"39,99€","35,99€"
Cyberpunk 2077,-50%,"59,99€","29,99€"
ELDEN RING,-30%,"59,99€","41,99€"
Total War: WARHAMMER III,-60%,"59,99€","23,99€"
Tom Clancy's Rainbow Six® Siege,-60%,"19,99€","7,99€"
RoboCop: Rogue City,-60%,"49,99€","19,99€"
Satisfactory,-10%,"38,99€","35,09€"
Cyberpunk 2077: Phantom Liberty,-20%,"29,99€","23,99€"
METAL GEAR & METAL GEAR 2: Solid Snake,-20%,"19,99€","15,99€"
METAL GEAR SOLID V: THE PHANTOM PAIN,-40%,"29,99€","17,99€"
Snufkin: Melody of Moominvalley,-20%,"19,99€","15,99€"
Sea of Thieves: 2024 Edition,-50%,"39,99€","19,99€"
Noita,-60%,"18,99€","7,59€"
Crusader Kings III: Roads to Power,N/A,N/A,N/A
Grand Theft Auto V,N/A,N/A,N/A
ACE COMBAT™ 7: SKIES UNKNOWN,-90%,"59,99€","5,99€"
Call of Duty®: Black Ops III,-67%,"59,99€","19,79€"
Grounded,-50%,"39,99€","19,99€"
Nobody Wants to Die,-25%,"24,99€","18,74€"
V Rising,-30%,"34,99€","24,49€"
UFO 50,-10%,"24,50€","22,05€"
Call of Duty®: Black Ops Cold War,-67%,"59,99€","19,79€"
Persona 3 Reload,-40%,"69,99€","41,99€"
FINAL FANTASY VII REMAKE INTERGRADE,-50%,"79,99€","39,99€"
Persona 5 Royal,-60%,"59,99€","23,99€"
Team Fortress 2,N/A,N/A,N/A
Street Fighter™ 6,-50%,"59,99€","29,99€"
Total War: WARHAMMER II,-75%,"59,99€","14,99€"
Party Animals,-50%,"17,99€","8,99€"
Anno 1800,-75%,"59,99€","14,99€"
METAL GEAR RISING: REVENGEANCE,-40%,"19,99€","11,99€"
Smalland: Survive the Wilds,-60%,"34,99€","13,99€"
Total War: WARHAMMER,-75%,"59,99€","14,99€"
Call of Duty®: Modern Warfare® III,-50%,"69,99€","34,99€"
Crusader Kings III: Tours & Tournaments,-30%,"29,99€","20,99€"
Dragon's Dogma 2,-43%,"64,99€","37,04€"
Slackers - Carts of Glory,-25%,"12,99€","9,74€"
Borderlands 3,-90%,"59,99€","5,99€"
Halo: The Master Chief Collection,-75%,"39,99€","9,99€"
Microsoft Flight Simulator 40th Anniversary Edition,-50%,"69,99€","34,99€"
STAR WARS Jedi: Survivor™,-60%,"69,99€","27,99€"
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,-33%,"24,99€","16,74€"
The Crew Motorfest,-70%,"69,99€","20,99€"
Nightingale,-40%,"28,99€","17,39€"
Avatar: Frontiers of Pandora™,-50%,"69,99€","34,99€"
EARTH DEFENSE FORCE 6,-20%,"59,99€","47,99€"
MechWarrior 5: Mercenaries,-60%,"29,99€","11,99€"
The Witcher 3: Wild Hunt,-75%,"29,99€","7,49€"
Ori and the Will of the Wisps,-67%,"29,99€","9,89€"
Lies of P,-40%,"59,99€","35,99€"
Call of Duty®: Black Ops II,-67%,"59,99€","19,79€"
Deep Rock Galactic,-67%,"29,99€","9,89€"
Total War: WARHAMMER III - Shadows of Change,-25%,"24,99€","18,74€"
Crusader Kings III: Royal Court,-50%,"29,99€","14,99€"
Shin Megami Tensei V: Vengeance,-30%,"59,99€","41,99€"
Darkwood,-75%,"14,79€","3,69€"
Mass Effect™ Legendary Edition,-85%,"59,99€","8,99€"
